"ID","name","location","info","mob_name","wear","date"
"1","earthen hammer","The Lost Sands","Object 'earthen hammer' is type weapon, extra flags magic burn_proof.
Weight is 3, value is 1000, level is 17.
restrict flags none.
Weapon type is mace/club
Damage is 5d7 (average 20)
Damage noun is crush.
Affects damage roll by 3.
Affects hit roll by 3.","Dao","wield",NULL
"2","earthen vest","The Lost Sands","Object 'earthen vest dirt' is type armor, extra flags magic burn_proof.
Weight is 4, value is 1000, level is 20.
restrict flags none.
Armor class is 10 pierce, 10 bash, 10 slash, and 5 vs. magic
Affects damage roll by 1.
Affects hit roll by 1.
Affects hp by 30.
Affects constitution by 2.","Dao","torso",NULL
"3","Eye of the Worm","The Palanthas Museum","Object 'Eye of the Worm' is type armor, extra flags glow hum evil magic anti-good.
Weight is 1, value is 200, level is 15.
restrict flags none.
Armor class is 5 pierce, 5 bash, 5 slash, and 5 vs. magic
Affects strength by 1.
Affects hp by 10.
Affects damage roll by 1.
Affects hit roll by 1.","worm","neck",NULL
"4","helm tassled with grey feather","Western Trade Route","A warm wave of magic flows through your hands as you perceive that..
.. this object, a helm tassled with grey feather, is armor,
   and can be referred to as 'helm tassled feather'.
It is of 19th level, weighs 3 pounds, and is worth 39 gold.
You can wear it on your head.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 2 vs magic.
When worn, it
   modifies hit roll by 2
   modifies damage roll by 2
   modifies health by 10","kender traveller","head",NULL
"5","tattered green cloak","Kharolis Mountains",".. this object, a tattered green cloak, is armor,
   and can be referred to as 'cloak green'.
It is of 12th level, weighs 3 pounds, and is worth 2 gold and 75 silver.
You can wear it around your neck.
It cannot be located by magical means.
It is fireproof and resists corrosion.
Armor class bonus: 5 vs pierce, 7 vs bash, 8 vs slash, and 8 vs magic.
When worn, it
   modifies health by 15
   modifies damage roll by 1
   modifies constitution by 1","minotaur mercenary","neck",NULL
"6","pair of red silken boots","Kharolis Mountains",".. this object, a pair of red silken boots, is armor,
   and can be referred to as 'boots silken'.
It is of 20th level, weighs 2 pounds, and is worth 10 gold.
You can wear it on your feet.
It sheds a magical aura.
It is fireproof and resists corrosion.
Armor class bonus: 6 vs pierce, 6 vs bash, 6 vs slash, and 5 vs magic.
When worn, it
   modifies moves by 25
   modifies health by 25
   modifies hit roll by 1
   modifies damage roll by 1
   modifies mana by 25","minotaur sellsword","feet","2026-03-22 08:07:29"
"7","emerald-hilted blade","Kharolis Mountains",".. this object, an emerald-hilted blade, is a dagger,
   and can be referred to as 'emerald blade'.
It is of 26th level, weighs 1 pound, and is worth 3 gold.
It glows with a soft light.
It cannot be used by those of pure soul.
It deals 5d6 damage (averaging at 17).
Its attacks take the form of a poisonous bite.
It is layered in deadly poison.
When worn, it
   modifies damage roll by 5
   modifies hit roll by 6","minotaur sellsword","wield","2026-03-22 08:09:44"
"8","dagger named 'naga-slayer'","Dying Forest","Object 'dagger naga-slayer' is type weapon, extra flags glow evil.
Weight is 5, value is 9100, level is 26.
restrict flags none.
Weapon type is dagger
Damage is 5d9 (average 25)
Damage noun is slice.
Affects damage roll by 4.
Affects hit roll by -2.","anti-ranger scout","wield",NULL
"9","dark axe of Despair","Castle of Giants",".. this object, the dark axe of Despair, is an axe,
   and can be referred to as 'axe despair dark'.
It is of 27th level, weighs 14 pounds, and is worth 90 gold.
It glows with a soft light and hums faintly.
The curse upon it won't let you drop it.
It deals 7d5 damage (averaging at 21).
Its attacks take the form of defilement.
It drains life from its victims.
When worn, it
   modifies hit roll by 5
   modifies damage roll by 5
   modifies will spellforce by 2","torturer","wield","2026-03-22 09:20:47"
"10","ring of the torturer","Castle of Giants",".. this object, a ring of the torturer, is armor,
   and can be referred to as 'ring black torturer'.
It is of 27th level, weighs 2 pounds, and is worth 80 gold.
You can wear it on your finger.
It hums faintly.
It cannot be used by those of pure soul.
Armor class bonus: 5 vs pierce, 5 vs bash, 5 vs slash, and 5 vs magic.
When worn, it
   modifies hit roll by 2
   modifies damage roll by 2
   modifies health by 30
   modifies resistance to holy by 3
   modifies will spellforce by 3","torturer","finger","2026-03-22 09:20:14"
"11","long cloak of bearskin","Mountains of Frost","Object 'cloak bear skin' is type armor, extra flags none.
Weight is 6, value is 13000, level is 17.
restrict flags none.
Armor class is 6 pierce, 6 bash, 6 slash, and 6 vs. magic
Affects damage roll by 1.
Affects hit roll by 2.
Affects armor class by -4.
Affects constitution by 1.","plainsman","body",NULL
"12","pair of fur leggings","Mountains of Frost","Object 'leggings fur' is type armor, extra flags none.
Weight is 4, value is 7600, level is 12.
restrict flags none.
Armor class is 7 pierce, 7 bash, 7 slash, and 7 vs. magic
Affects damage roll by 2.
Affects hp by 15.","plainsman","legs",NULL
"13","red dragon torso","Underground Passage",".. this object, a red dragon torso, is armor,
   and can be referred to as 'red torso dragon'.
It is of 27th level, weighs 15 pounds, and is worth 64 gold.
You can wear it on your torso.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 12 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies dexterity by -1
   modifies reflex save by 2
   modifies resistance to fire by 5","red dragon","torso","2026-03-22 09:54:17"
"14","red dragonscale leggings","Underground Passage",".. this object, red dragonscale leggings, is armor,
   and can be referred to as 'leggings red dragon'.
It is of 27th level, weighs 9 pounds, and is worth 47 gold.
You can wear it on your legs.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 12 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies dexterity by -1
   modifies reflex save by 2
   modifies resistance to fire by 3","red dragon","legs","2026-03-22 09:54:06"
"15","pair of red dragon claws","Underground Passage","Object 'claws dragonclaws red' is type armor, extra flags anti-good.
Weight is 4, value is 4150, level is 15.
restrict flags none.
Armor class is 8 pierce, 8 bash, 8 slash, and 8 vs. magic
Affects dexterity by -1.
Affects damage roll by 2.","red dragon","hands",NULL
"16","red dragonhelm (old)","Underground Passage","Object 'skull dragonhelm red' is type armor, extra flags anti-good.
Weight is 15, value is 4000, level is 19.
restrict flags none.
Armor class is 9 pierce, 9 bash, 9 slash, and 4 vs. magic
Affects dexterity by -1.
Affects damage roll by 2.
Affects wisdom by 2.","red dragon","head",NULL
"17","red dragon shield","Underground Passage",".. this object, the red dragon shield, is armor,
   and can be referred to as 'shield red dragon'.
It is of 30th level, weighs 10 pounds, and is worth 49 gold.
You can use it as a shield.
It cannot be used by those of pure soul.
Armor class bonus: 10 vs pierce, 10 vs bash, 10 vs slash, and 15 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies armor class by -15
   modifies reflex save by 2
   modifies fortitude save by 2
   modifies resistance to fire by 8","red dragon","shield","2026-03-22 09:53:30"
"18","pair of a red dragon's rear claws","Underground Passage",".. this object, a pair of a red dragon's rear claws, is armor,
   and can be referred to as 'rear claws red dragon'.
It is of 27th level, weighs 4 pounds, and is worth 47 gold.
You can wear it on your feet.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 12 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies dexterity by -1
   modifies reflex save by 2
   modifies resistance to fire by 3","red dragon","feet","2026-03-22 09:53:17"
"19","red dragon arm guards","Underground Passage",".. this object, red dragon arm guards, is armor,
   and can be referred to as 'arm guards red dragon'.
It is of 27th level, weighs 4 pounds, and is worth 47 gold.
You can wear it on your arms.
It cannot be used by those of pure soul.
Armor class bonus: 9 vs pierce, 9 vs bash, 9 vs slash, and 12 vs magic.
When worn, it
   modifies damage roll by 3
   modifies hit roll by 3
   modifies dexterity by -1
   modifies reflex save by 2
   modifies resistance to fire by 3","red dragon","arms","2026-03-22 09:53:01"
